user_genome	classification	closest_genome_reference	closest_genome_reference_radius	closest_genome_taxonomy	closest_genome_ani	closest_genome_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
ERR4303147bin.12	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__RF39;f__UBA660;g__Onthousia;s__Onthousia sp944351375	GCA_944351375.1	95.0	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__RF39;f__UBA660;g__Onthousia;s__Onthousia sp944351375	98.99	0.918	GCA_944351375.1	95.0	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__RF39;f__UBA660;g__Onthousia;s__Onthousia sp944351375	98.99	0.918	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__RF39;f__UBA660;g__Onthousia;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_944358355.1, s__Onthousia sp944358355, 95.0, 86.34, 0.275; GCA_958421325.1, s__Onthousia sp900760545, 95.0, 87.24, 0.378; GCA_944331935.1, s__Onthousia sp944331935, 95.2, 87.35, 0.374; GCA_949286645.1, s__Onthousia sp949286645, 95.0, 92.21, 0.524; GCA_949291575.1, s__Onthousia sp949291575, 95.0, 91.32, 0.505; GCA_946499755.1, s__Onthousia sp946499755, 95.0, 85.32, 0.214; GCA_946494345.1, s__Onthousia sp946494345, 95.0, 85.7, 0.229; GCA_944358305.1, s__Onthousia sp944358305, 95.0, 85.85, 0.257; GCA_944363705.1, s__Onthousia sp944363705, 95.0, 91.54, 0.536; GCA_944331955.1, s__Onthousia sp944331955, 95.0, 87.96, 0.401; GCA_944363685.1, s__Onthousia sp944363685, 95.0, 85.98, 0.188; GCA_018712385.1, s__Onthousia excrementipullorum, 95.0, 87.63, 0.388; GCA_944363735.1, s__Onthousia sp944363735, 95.0, 90.46, 0.511; GCA_018715925.1, s__Onthousia faecipullorum, 95.0, 88.58, 0.372; GCA_944331805.1, s__Onthousia sp944331805, 95.0, 88.61, 0.397; GCA_944363715.1, s__Onthousia sp944363715, 95.0, 91.79, 0.552; GCA_949284575.1, s__Onthousia sp949284575, 95.0, 86.11, 0.218; GCA_946500695.1, s__Onthousia sp946500695, 95.0, 86.86, 0.325; GCA_963929435.1, s__Onthousia sp963929435, 95.19, 86.18, 0.309; GCA_944332025.1, s__Onthousia sp944332025, 95.0, 90.7, 0.474; GCA_944331715.1, s__Onthousia sp944331715, 95.0, 91.18, 0.43; GCA_964546695.1, s__Onthousia sp964546695, 95.0, 84.46, 0.153; GCA_946497925.1, s__Onthousia sp946497925, 95.0, 94.0, 0.615; GCA_946497955.1, s__Onthousia sp946497955, 95.21, 88.71, 0.422; GCA_963931065.1, s__Onthousia sp944363755, 95.0, 87.69, 0.4; GCA_946498975.1, s__Onthousia sp946498975, 95.0, 91.86, 0.56; GCA_946486465.1, s__Onthousia sp946486465, 95.0, 88.94, 0.391	79.62	11	N/A	N/A
ERR4303147bin.39	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__CAG-274;g__Tyzzerella;s__Tyzzerella sp944376805	GCA_944376805.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__CAG-274;g__Tyzzerella;s__Tyzzerella sp944376805	99.2	0.931	GCA_944376805.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__CAG-274;g__Tyzzerella;s__Tyzzerella sp944376805	99.2	0.931	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__CAG-274;g__Tyzzerella;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_940677205.1, s__Tyzzerella colina, 95.0, 83.61, 0.157; GCA_944384215.1, s__Tyzzerella sp944384215, 95.0, 86.08, 0.314; GCA_946497035.1, s__Tyzzerella sp946497035, 95.0, 85.41, 0.279; GCF_963558545.1, s__Tyzzerella sp963558545, 95.0, 83.91, 0.215; GCA_946495765.1, s__Tyzzerella sp946495765, 95.0, 83.84, 0.164; GCA_944383305.1, s__Tyzzerella sp944383305, 95.0, 82.96, 0.161; GCA_018371275.1, s__Tyzzerella sp018371275, 95.0, 84.63, 0.239	97.66	11	N/A	N/A
ERR4303147bin.44	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__RF39;f__UBA660;g__Aphodocola;s__Aphodocola sp944329425	GCA_944329425.1	95.0	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__RF39;f__UBA660;g__Aphodocola;s__Aphodocola sp944329425	98.13	0.906	GCA_944329425.1	95.0	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__RF39;f__UBA660;g__Aphodocola;s__Aphodocola sp944329425	98.13	0.906	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__RF39;f__UBA660;g__Aphodocola;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	76.83	11	N/A	N/A
ERR4303147bin.48	d__Bacteria;p__Bacillota;c__Clostridia;o__Christensenellales;f__UBA1242;g__Onthoplasma;s__Onthoplasma sp944381155	GCA_944381155.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Christensenellales;f__UBA1242;g__Onthoplasma;s__Onthoplasma sp944381155	97.6	0.88	GCA_944381155.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Christensenellales;f__UBA1242;g__Onthoplasma;s__Onthoplasma sp944381155	97.6	0.88	d__Bacteria;p__Bacillota;c__Clostridia;o__Christensenellales;f__UBA1242;g__Onthoplasma;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	72.18	11	N/A	N/A
ERR4303147bin.52	d__Bacteria;p__Bacillota;c__Clostridia;o__Christensenellales;f__UBA1242;g__RGIG1681;s__RGIG1681 sp944381185	GCA_944381185.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Christensenellales;f__UBA1242;g__RGIG1681;s__RGIG1681 sp944381185	98.42	0.906	GCA_944381185.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Christensenellales;f__UBA1242;g__RGIG1681;s__RGIG1681 sp944381185	98.42	0.906	d__Bacteria;p__Bacillota;c__Clostridia;o__Christensenellales;f__UBA1242;g__RGIG1681;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	82.36	11	N/A	N/A
ERR4303147bin.54	d__Bacteria;p__Bacillota;c__Clostridia;o__TANB77;f__CAG-508;g__CAG-269;s__CAG-269 sp944386685	GCA_944386685.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__TANB77;f__CAG-508;g__CAG-269;s__CAG-269 sp944386685	98.22	0.779	GCA_944386685.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__TANB77;f__CAG-508;g__CAG-269;s__CAG-269 sp944386685	98.22	0.779	d__Bacteria;p__Bacillota;c__Clostridia;o__TANB77;f__CAG-508;g__CAG-269;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_944393385.1, s__CAG-269 sp944393385, 95.0, 87.82, 0.279; GCA_944388045.1, s__CAG-269 sp944388045, 95.0, 93.72, 0.528; GCA_944386165.1, s__CAG-269 sp944386165, 95.0, 85.24, 0.187	79.04	11	N/A	N/A
ERR4303148bin.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	GCF_025147485.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	98.74	0.857	GCF_025147485.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	98.74	0.857	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_000614125.1, s__Bacteroides rodentium, 95.0, 94.56, 0.641; GCF_004793475.1, s__Bacteroides muris, 95.0, 91.99, 0.519; GCA_037413095.1, s__Bacteroides sp905197435, 95.0, 87.38, 0.404	98.0	11	N/A	N/A
ERR4303148bin.29	d__Bacteria;p__Bacillota;c__Clostridia;o__TANB77;f__CAG-465;g__CAG-465;s__CAG-465 sp944387375	GCA_944387375.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__TANB77;f__CAG-465;g__CAG-465;s__CAG-465 sp944387375	98.63	0.861	GCA_944387375.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__TANB77;f__CAG-465;g__CAG-465;s__CAG-465 sp944387375	98.63	0.861	d__Bacteria;p__Bacillota;c__Clostridia;o__TANB77;f__CAG-465;g__CAG-465;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_944388585.1, s__CAG-465 sp944388585, 95.0, 91.96, 0.692; GCA_944386635.1, s__CAG-465 sp944386635, 95.0, 85.32, 0.318	86.47	11	N/A	N/A
ERR4303149bin.21	d__Bacteria;p__Bacillota;c__Clostridia;o__Christensenellales;f__CAG-314;g__Fimimonas;s__Fimimonas gallinarum	GCA_018712065.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Christensenellales;f__CAG-314;g__Fimimonas;s__Fimimonas gallinarum	98.47	0.945	GCA_018712065.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Christensenellales;f__CAG-314;g__Fimimonas;s__Fimimonas gallinarum	98.47	0.945	d__Bacteria;p__Bacillota;c__Clostridia;o__Christensenellales;f__CAG-314;g__Fimimonas;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	84.89	11	N/A	N/A
ERR4303149bin.27	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium avium	GCA_019112805.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium avium	98.1	0.882	GCA_019112805.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium avium	98.1	0.882	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_019118985.1, s__Faecalibacterium faecipullorum, 95.0, 85.42, 0.281; GCA_019119685.1, s__Faecalibacterium faecigallinarum, 95.0, 86.94, 0.342; GCA_963931455.1, s__Faecalibacterium sp944386015, 95.0, 85.2, 0.284; GCA_944385995.1, s__Faecalibacterium sp944385995, 95.0, 84.36, 0.193; GCA_019113345.1, s__Faecalibacterium intestinigallinarum, 95.0, 86.21, 0.314; GCA_944387975.1, s__Faecalibacterium sp944387975, 95.0, 85.32, 0.201; GCA_904394215.1, s__Faecalibacterium sp904394215, 95.0, 84.5, 0.231; GCA_964511805.1, s__Faecalibacterium sp964511805, 95.0, 85.26, 0.182; GCA_019116585.1, s__Faecalibacterium gallistercoris, 95.0, 87.4, 0.379; GCF_002160895.1, s__Faecalibacterium sp002160895, 95.0, 84.75, 0.255	81.7	11	N/A	N/A
ERR4303149bin.29	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_E;s__Enterococcus_E cecorum_A	GCA_023221775.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_E;s__Enterococcus_E cecorum_A	97.68	0.82	GCA_023221775.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_E;s__Enterococcus_E cecorum_A	97.68	0.82	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_E;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_946499615.1, s__Enterococcus_E cecorum_B, 95.0, 93.11, 0.582; GCF_052119425.1, s__Enterococcus_E cecorum_C, 95.7, 93.34, 0.564; GCF_000407565.1, s__Enterococcus_E cecorum, 95.44, 92.91, 0.578; GCA_023389005.1, s__Enterococcus_E sp023389005, 95.0, 92.88, 0.486; GCA_019120335.1, s__Enterococcus_E stercoripullorum, 95.0, 92.17, 0.582	96.93	11	N/A	N/A
ERR4303149bin.36	d__Bacteria;p__Bacillota;c__Clostridia;o__TANB77;f__CAG-508;g__CAG-273;s__CAG-273 sp944390395	GCA_944390395.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__TANB77;f__CAG-508;g__CAG-273;s__CAG-273 sp944390395	98.86	0.786	GCA_944390395.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__TANB77;f__CAG-508;g__CAG-273;s__CAG-273 sp944390395	98.86	0.786	d__Bacteria;p__Bacillota;c__Clostridia;o__TANB77;f__CAG-508;g__CAG-273;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_963560005.1, s__CAG-273 sp963560005, 95.0, 88.89, 0.403	78.1	11	N/A	N/A
ERR4303150bin.25	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__Butyricicoccus;s__Butyricicoccus pullicaecorum	GCF_900167005.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__Butyricicoccus;s__Butyricicoccus pullicaecorum	97.08	0.897	GCF_900167005.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__Butyricicoccus;s__Butyricicoccus pullicaecorum	97.08	0.897	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__Butyricicoccus;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_959018045.1, s__Butyricicoccus sp959018045, 95.0, 94.61, 0.775	96.09	11	N/A	N/A
ERR4303150bin.41	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Mediterraneibacter;s__Mediterraneibacter faecigallinarum	GCA_019119735.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Mediterraneibacter;s__Mediterraneibacter faecigallinarum	98.95	0.878	GCA_019119735.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Mediterraneibacter;s__Mediterraneibacter faecigallinarum	98.95	0.878	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Mediterraneibacter;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_019120245.1, s__Mediterraneibacter caccogallinarum, 95.0, 85.25, 0.27; GCA_944383745.1, s__Mediterraneibacter sp944383745, 95.0, 89.9, 0.563	90.36	11	N/A	N/A
ERR4303150bin.6	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Proteus;s__Proteus mirabilis	GCF_000160755.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Proteus;s__Proteus mirabilis	99.12	0.934	GCF_000160755.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Proteus;s__Proteus mirabilis	99.12	0.934	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Proteus;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_001654965.1, s__Proteus hauseri, 95.0, 83.22, 0.211; GCF_003144535.1, s__Proteus penneri, 95.0, 84.2, 0.282; GCF_023100685.1, s__Proteus sp003144375, 95.0, 84.2, 0.273; GCF_016647575.1, s__Proteus mirabilis_B, 95.22, 84.28, 0.262; GCF_014897315.1, s__Proteus sp014897315, 95.0, 84.13, 0.261; GCA_901472505.1, s__Proteus vulgaris, 95.0, 83.87, 0.242; GCF_033708015.1, s__Proteus sp001722135, 95.0, 84.41, 0.252; GCF_003144395.1, s__Proteus faecis, 95.0, 84.09, 0.266; GCF_011046025.1, s__Proteus sp011046025, 95.77, 83.88, 0.258; GCF_011045835.1, s__Proteus cibarius, 96.33, 83.92, 0.255; GCF_009914335.1, s__Proteus sp003144505, 95.0, 84.28, 0.266; GCF_030271835.1, s__Proteus appendicitidis, 95.0, 84.26, 0.255; GCF_003144325.1, s__Proteus terrae, 95.0, 83.86, 0.27; GCF_016239305.1, s__Proteus vulgaris_C, 95.0, 84.26, 0.267; GCF_003144405.1, s__Proteus cibi, 95.0, 84.19, 0.266; GCF_011045815.1, s__Proteus vulgaris_B, 95.0, 84.49, 0.279; GCF_002777965.1, s__Proteus columbae, 95.0, 84.29, 0.259; GCF_040139125.1, s__Proteus hauseri_B, 95.0, 83.21, 0.198; GCF_001654855.1, s__Proteus myxofaciens, 95.0, 83.09, 0.162; GCF_002607735.1, s__Proteus alimentorum, 95.0, 84.39, 0.263	91.34	11	N/A	N/A
